Time,Instrument,Operation,OrderId,Side,Volume,Price,Lifespan
0.0,0,Insert,268497067,A,1000,140500.0,G
0.0,0,Insert,268497071,A,8000,140500.0,G
0.0,0,Insert,268497291,A,1000,140500.0,G
0.0,0,Insert,268497559,B,2000,106400.0,G
0.0,0,Cancel,268497291,,-1000,,
0.0,0,Cancel,268497559,,-2000,,
0.0,0,Insert,268497883,B,2000,106500.0,G
0.0,0,Insert,268498071,B,1000,139800.0,G
0.0,0,Insert,268500499,A,1000,140700.0,G
0.0,0,Insert,268500783,A,2000,140700.0,G
0.0,0,Insert,268500795,A,1000,140800.0,G
0.0,0,Cancel,268500795,,-1000,,
0.0,0,Insert,268500927,A,1000,140800.0,G
0.0,0,Insert,268500939,A,780,140500.0,G
0.0,0,Insert,268500955,A,1000,140500.0,G
0.0,0,Cancel,268500927,,-1000,,
0.0,0,Insert,268501375,A,1000,140500.0,G
0.0,0,Insert,268501707,A,1000,140800.0,G
0.0,0,Cancel,268501707,,-1000,,
0.0,0,Insert,268501831,A,1000,140500.0,G
0.0,0,Cancel,268500955,,-1000,,
0.0,0,Insert,268502199,B,8000,140300.0,G
0.0,0,Cancel,268500939,,-780,,
0.0,0,Insert,268502203,B,780,140300.0,G
0.0,0,Insert,268502207,B,1000,140300.0,G
0.0,0,Cancel,268501375,,-1000,,
0.0,0,Cancel,268497067,,-1000,,
0.0,0,Insert,268502319,B,1000,140300.0,G
0.0,0,Cancel,268500783,,-2000,,
0.0,0,Cancel,268497071,,-8000,,
0.0,0,Insert,268502331,B,2000,140000.0,G
0.0,0,Cancel,268502319,,-1000,,
0.0,0,Cancel,268502207,,-1000,,
0.0,0,Insert,268502491,B,1000,140300.0,G
0.0,0,Cancel,268502199,,-8000,,
0.0,0,Cancel,268502491,,-1000,,
0.0,0,Insert,268503795,A,1000,140500.0,G
0.0,0,Insert,268503955,B,8000,140300.0,G
0.0,0,Insert,268503959,B,1000,110700.0,G
0.0,0,Insert,268503963,A,1000,170100.0,G
0.0,0,Insert,268503967,A,1000,142000.0,G
0.0,0,Insert,268504379,B,1000,138800.0,G
0.0,0,Insert,268504823,A,8000,140500.0,G
0.0,0,Insert,268504827,B,1000,140300.0,G
0.0,0,Insert,268504831,A,1000,140500.0,G
0.0,0,Insert,268505179,A,1000,140500.0,G
0.0,0,Cancel,268505179,,-1000,,
0.0,0,Insert,268506543,A,1000,140500.0,G
0.0,0,Cancel,268502331,,-2000,,
0.0,0,Cancel,268502203,,-780,,
0.0,0,Insert,268507479,B,790,140300.0,G
0.0,0,Cancel,268507479,,-790,,
0.0,0,Cancel,268503955,,-8000,,
0.0,0,Insert,268508907,B,8000,140300.0,G
0.0,0,Insert,268509983,B,790,140300.0,G
0.0,0,Cancel,268506543,,-1000,,
0.0,0,Insert,268510043,B,2000,140000.0,G
0.0,0,Insert,268512611,A,1000,140500.0,G
0.0,0,Cancel,268500499,,-1000,,
0.0,0,Insert,268514387,A,2000,141700.0,G
0.0,0,Cancel,268510043,,-2000,,
0.0,0,Cancel,268509983,,-790,,
0.0,0,Insert,268514763,B,800,140300.0,G
