position,bid_liquidity(e+08),bid_spread,bid_lots,ask_liquidity(e+08),ask_lots,ask_spread
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
0,3.1294437727133513,0,20,0.528645003202797,1,14
20,0.882593802755314,0,18,0.528645003202797,1,16
20,0.882593802755314,0,18,0.528645003202797,1,16
14,0.882593802755314,0,19,0.528645003202797,1,15
20,0.882593802755314,0,18,0.528645003202797,1,16
20,0.882593802755314,0,18,0.528645003202797,1,16
0,0.882593802755314,0,20,0.528645003202797,1,14
26,1.7909763777089744,1,17,2.7855851461050705,0,23
20,1.7909763777089744,0,18,2.7855851461050705,0,22
33,1.7909763777089744,1,16,2.7855851461050705,0,23
38,1.7909763777089744,1,16,2.7855851461050705,0,24
0,1.7909763777089744,0,20,2.7855851461050705,0,20
38,1.7909763777089744,1,16,2.7855851461050705,0,24
38,0.6869065032285588,2,11,2.0382776322440437,0,24
3,0.6869065032285588,1,14,2.0382776322440437,0,20
33,0.6869065032285588,2,12,2.0382776322440437,0,23
23,0.6869065032285588,1,13,2.0382776322440437,0,22
20,0.6869065032285588,1,13,2.0382776322440437,0,22
38,0.6869065032285588,2,11,2.0382776322440437,0,24
23,1.98236745438079,0,17,4.56782723515648,0,22
38,1.98236745438079,1,16,4.56782723515648,0,24
38,1.98236745438079,1,16,4.56782723515648,0,24
3,1.98236745438079,0,20,4.56782723515648,0,20
20,1.98236745438079,0,18,4.56782723515648,0,22
33,1.98236745438079,1,16,4.56782723515648,0,23
33,4.618361687125646,1,16,2.7852442455536783,0,23
38,4.618361687125646,1,16,2.7852442455536783,0,24
20,4.618361687125646,0,18,2.7852442455536783,0,22
38,4.618361687125646,1,16,2.7852442455536783,0,24
3,4.618361687125646,0,20,2.7852442455536783,0,20
23,4.618361687125646,0,17,2.7852442455536783,0,22
3,1.6416089352933176,0,20,5.617647189387314,0,20
33,1.6416089352933176,1,16,5.617647189387314,0,23
23,1.6416089352933176,0,17,5.617647189387314,0,22
35,1.6416089352933176,1,16,5.617647189387314,0,23
38,1.6416089352933176,1,16,5.617647189387314,0,24
38,1.6416089352933176,1,16,5.617647189387314,0,24
46,2.1272643833881,1,15,3.551334892864102,0,24
47,2.1272643833881,1,14,3.551334892864102,0,24
37,2.1272643833881,1,16,3.551334892864102,0,24
31,2.1272643833881,1,17,3.551334892864102,0,23
10,2.1272643833881,0,19,3.551334892864102,0,21
-1,2.1272643833881,0,20,3.551334892864102,0,20
25,2.2929310567670957,0,17,3.2835827798401818,0,22
37,2.2929310567670957,1,16,3.2835827798401818,0,24
46,2.2929310567670957,1,15,3.2835827798401818,0,24
31,2.2929310567670957,1,17,3.2835827798401818,0,23
47,2.2929310567670957,1,14,3.2835827798401818,0,24
-1,2.2929310567670957,0,20,3.2835827798401818,0,20
25,2.799432264087255,0,17,3.6260693283032954,0,22
31,2.799432264087255,1,17,3.6260693283032954,0,23
47,2.799432264087255,1,14,3.6260693283032954,0,24
46,2.799432264087255,1,15,3.6260693283032954,0,24
-1,2.799432264087255,0,20,3.6260693283032954,0,20
37,2.799432264087255,1,16,3.6260693283032954,0,24
37,5.509076621369606,1,16,2.2704051000746928,0,24
25,5.509076621369606,0,17,2.2704051000746928,0,22
47,5.509076621369606,1,14,2.2704051000746928,0,24
-1,5.509076621369606,0,20,2.2704051000746928,0,20
31,5.509076621369606,1,17,2.2704051000746928,0,23
46,5.509076621369606,1,15,2.2704051000746928,0,24
17,3.1139142739842853,0,18,4.976196251074598,0,22
-11,3.1139142739842853,0,21,4.976196251074598,0,19
47,3.1139142739842853,1,14,4.976196251074598,0,24
3,3.1139142739842853,0,20,4.976196251074598,0,20
13,3.1139142739842853,0,19,4.976196251074598,0,21
46,3.1139142739842853,1,15,4.976196251074598,0,24
10,4.183178353193858,0,19,5.451997747124985,0,21
13,4.183178353193858,0,19,5.451997747124985,0,21
17,4.183178353193858,0,18,5.451997747124985,0,22
23,4.183178353193858,0,17,5.451997747124985,0,22
22,4.183178353193858,0,18,5.451997747124985,0,22
30,4.183178353193858,1,17,5.451997747124985,0,23
17,3.3418736943742933,0,18,2.8730312379752165,0,22
-3,3.3418736943742933,0,20,2.8730312379752165,0,20
31,3.3418736943742933,1,17,2.8730312379752165,0,23
37,3.3418736943742933,1,16,2.8730312379752165,0,24
37,3.3418736943742933,1,16,2.8730312379752165,0,24
3,3.3418736943742933,0,20,2.8730312379752165,0,20
-3,1.7735095973357216,0,20,3.8835968825060645,0,20
31,1.7735095973357216,1,17,3.8835968825060645,0,23
17,1.7735095973357216,0,18,3.8835968825060645,0,22
37,1.7735095973357216,1,16,3.8835968825060645,0,24
3,1.7735095973357216,0,20,3.8835968825060645,0,20
37,1.7735095973357216,1,16,3.8835968825060645,0,24
16,4.377580777868081,0,18,2.8550919457609814,0,22
53,4.377580777868081,2,14,2.8550919457609814,0,25
26,4.377580777868081,1,17,2.8550919457609814,0,23
-18,4.377580777868081,0,22,2.8550919457609814,0,18
37,4.377580777868081,1,16,2.8550919457609814,0,24
8,4.377580777868081,0,19,2.8550919457609814,0,21
53,3.474597092193308,2,14,3.8136181119712473,0,25
37,3.474597092193308,1,16,3.8136181119712473,0,24
16,3.474597092193308,0,18,3.8136181119712473,0,22
-18,3.474597092193308,0,22,3.8136181119712473,0,18
26,3.474597092193308,1,17,3.8136181119712473,0,23
8,3.474597092193308,0,19,3.8136181119712473,0,21
28,3.9335121397803583,1,17,3.3451891406802217,0,23
13,3.9335121397803583,0,19,3.3451891406802217,0,21
-6,3.9335121397803583,0,21,3.3451891406802217,0,19
17,3.9335121397803583,0,18,3.3451891406802217,0,22
8,3.9335121397803583,0,19,3.3451891406802217,0,21
-36,3.9335121397803583,0,23,3.3451891406802217,1,16
-36,3.598847085486361,0,23,2.7019801380091386,1,16
17,3.598847085486361,0,18,2.7019801380091386,0,22
8,3.598847085486361,0,19,2.7019801380091386,0,21
28,3.598847085486361,1,17,2.7019801380091386,0,23
-6,3.598847085486361,0,21,2.7019801380091386,0,19
13,3.598847085486361,0,19,2.7019801380091386,0,21
13,2.7547225434157028,0,19,3.467764355345527,0,21
-36,2.7547225434157028,0,23,3.467764355345527,1,16
17,2.7547225434157028,0,18,3.467764355345527,0,22
28,2.7547225434157028,1,17,3.467764355345527,0,23
8,2.7547225434157028,0,19,3.467764355345527,0,21
-6,2.7547225434157028,0,21,3.467764355345527,0,19
17,2.5215082915104765,0,18,3.877497319813069,0,22
13,2.5215082915104765,0,19,3.877497319813069,0,21
28,2.5215082915104765,1,17,3.877497319813069,0,23
-6,2.5215082915104765,0,21,3.877497319813069,0,19
8,2.5215082915104765,0,19,3.877497319813069,0,21
-36,2.5215082915104765,0,23,3.877497319813069,1,16
-13,2.731383907196496,0,21,3.6243970932942355,0,19
-5,2.731383907196496,0,21,3.6243970932942355,0,19
8,2.731383907196496,0,19,3.6243970932942355,0,21
2,2.731383907196496,0,20,3.6243970932942355,0,20
27,2.731383907196496,1,17,3.6243970932942355,0,23
5,2.731383907196496,0,19,3.6243970932942355,0,21
5,2.0592488367296125,0,19,4.15629511943859,0,21
2,2.0592488367296125,0,20,4.15629511943859,0,20
-5,2.0592488367296125,0,21,4.15629511943859,0,19
23,2.0592488367296125,0,17,4.15629511943859,0,22
8,2.0592488367296125,0,19,4.15629511943859,0,21
-9,2.0592488367296125,0,21,4.15629511943859,0,19
23,2.245398776253637,0,17,4.2494451395269435,0,22
-5,2.245398776253637,0,21,4.2494451395269435,0,19
8,2.245398776253637,0,19,4.2494451395269435,0,21
2,2.245398776253637,0,20,4.2494451395269435,0,20
-8,2.245398776253637,0,21,4.2494451395269435,0,19
-9,2.245398776253637,0,21,4.2494451395269435,0,19
23,2.493698762828676,0,17,3.566045186470063,0,22
-9,2.493698762828676,0,21,3.566045186470063,0,19
-8,2.493698762828676,0,21,3.566045186470063,0,19
-5,2.493698762828676,0,21,3.566045186470063,0,19
2,2.493698762828676,0,20,3.566045186470063,0,20
8,2.493698762828676,0,19,3.566045186470063,0,21
-8,2.245398776253637,0,21,3.690295179763116,0,19
-9,2.245398776253637,0,21,3.690295179763116,0,19
2,2.245398776253637,0,20,3.690295179763116,0,20
23,2.245398776253637,0,17,3.690295179763116,0,22
8,2.245398776253637,0,19,3.690295179763116,0,21
-5,2.245398776253637,0,21,3.690295179763116,0,19
-9,2.0592488367296125,0,21,3.690295179763116,0,19
8,2.0592488367296125,0,19,3.690295179763116,0,21
-5,2.0592488367296125,0,21,3.690295179763116,0,19
2,2.0592488367296125,0,20,3.690295179763116,0,20
23,2.0592488367296125,0,17,3.690295179763116,0,22
-8,2.0592488367296125,0,21,3.690295179763116,0,19
-5,2.245398776253637,0,21,3.8170311725198327,0,19
-9,2.245398776253637,0,21,3.8170311725198327,0,19
2,2.245398776253637,0,20,3.8170311725198327,0,20
23,2.245398776253637,0,17,3.8170311725198327,0,22
8,2.245398776253637,0,19,3.8170311725198327,0,21
-8,2.245398776253637,0,21,3.8170311725198327,0,19
23,3.0325039919654273,0,17,2.972939544402354,0,22
8,3.0325039919654273,0,19,2.972939544402354,0,21
-8,3.0325039919654273,0,21,2.972939544402354,0,19
-9,3.0325039919654273,0,21,2.972939544402354,0,19
2,3.0325039919654273,0,20,2.972939544402354,0,20
-5,3.0325039919654273,0,21,2.972939544402354,0,19
22,2.40576164904374,0,18,2.8502977430671006,0,22
16,2.40576164904374,0,18,2.8502977430671006,0,22
3,2.40576164904374,0,20,2.8502977430671006,0,20
1,2.40576164904374,0,20,2.8502977430671006,0,20
