Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
4e-06,ReadyFlamingo_938703,Tick,0,0,0,0,,,0,0,0,OK
4e-06,HappyLife_99999,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Algorizzms_1224,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Emineminem_522023,Tick,0,0,0,0,,,0,0,0,OK
4e-06,potatochick_701801,Tick,0,0,0,0,,,0,0,0,OK
4e-06,Eternite_1023,Tick,0,0,0,0,,,0,0,0,OK
4e-06,IdentityExchangers_4761,Tick,0,0,0,0,,,0,0,0,OK
0.292075,ReadyFlamingo_938703,Tick,0,0,0,0,127700,,0,0,0,OK
0.292075,HappyLife_99999,Tick,0,15,-15,15,127700,,377,-12377,-12377,OK
0.292075,Algorizzms_1224,Tick,10,0,10,-7,127700,,-126,-372474,-372474,OK
0.292075,Emineminem_522023,Tick,5,0,5,-1,127700,,-63,-501737,-501737,OK
0.292075,potatochick_701801,Tick,0,0,0,0,127700,,0,0,0,OK
0.292075,Eternite_1023,Tick,0,0,0,0,127700,,0,0,0,OK
0.292075,IdentityExchangers_4761,Tick,0,0,0,0,127700,,0,0,0,OK
0.480492,ReadyFlamingo_938703,Tick,0,0,0,0,126600,,0,0,0,OK
0.480492,HappyLife_99999,Tick,0,15,-15,15,126600,,377,-12377,-12377,OK
0.480492,Algorizzms_1224,Tick,10,10,0,0,126600,,-253,8153,8153,OK
0.480492,Emineminem_522023,Tick,5,0,5,-1,126600,,-63,-501737,-501737,OK
0.480492,potatochick_701801,Tick,0,10,-10,10,126600,,-126,126,126,OK
0.480492,Eternite_1023,Tick,0,0,0,0,126600,,0,0,0,OK
0.480492,IdentityExchangers_4761,Tick,0,0,0,0,126600,,0,0,0,OK
0.765695,ReadyFlamingo_938703,Tick,0,0,0,0,126700,,0,0,0,OK
0.765695,HappyLife_99999,Tick,0,15,-15,15,126700,,377,-12377,-12377,OK
0.765695,Algorizzms_1224,Tick,10,20,-10,7,126700,,0,389400,389400,OK
0.765695,Emineminem_522023,Tick,5,0,5,-1,126700,,-63,-501737,-501737,OK
0.765695,potatochick_701801,Tick,10,10,0,10,126700,,-253,-1266747,-1266747,OK
0.765695,Eternite_1023,Tick,0,0,0,0,126700,,0,0,0,OK
0.765695,IdentityExchangers_4761,Tick,0,0,0,0,126700,,0,0,0,OK
0.994625,ReadyFlamingo_938703,Tick,0,0,0,0,126700,,0,0,0,OK
0.994625,HappyLife_99999,Tick,0,15,-15,15,126700,,377,-12377,-12377,OK
0.994625,Algorizzms_1224,Tick,10,20,-10,7,126700,,0,389400,389400,OK
0.994625,Emineminem_522023,Tick,5,0,5,-1,126700,,-63,-501737,-501737,OK
0.994625,potatochick_701801,Tick,10,10,0,10,126700,,-253,-1266747,-1266747,OK
0.994625,Eternite_1023,Tick,0,0,0,0,126700,,0,0,0,OK
0.994625,IdentityExchangers_4761,Tick,0,0,0,0,126700,,0,0,0,OK
1.290028,ReadyFlamingo_938703,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.290028,HappyLife_99999,Tick,0,15,-15,15,126700,126700,377,-12377,-12377,OK
1.290028,Algorizzms_1224,Tick,10,20,-10,7,126700,126700,0,389400,9300,OK
1.290028,Emineminem_522023,Tick,5,0,5,-1,126700,126700,-63,-501737,5063,OK
1.290028,potatochick_701801,Tick,10,10,0,10,126700,126700,-253,-1266747,253,OK
1.290028,Eternite_1023,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.290028,IdentityExchangers_4761,Tick,0,0,0,0,126700,126700,0,0,0,OK
1.514206,ReadyFlamingo_938703,Tick,0,0,0,0,126700,126800,0,0,0,OK
1.514206,HappyLife_99999,Tick,0,15,-15,15,126700,126800,377,-12377,-10877,OK
1.514206,Algorizzms_1224,Tick,10,20,-10,7,126700,126800,0,389400,10000,OK
1.514206,Emineminem_522023,Tick,5,0,5,-1,126700,126800,-63,-501737,4963,OK
1.514206,potatochick_701801,Tick,10,10,0,10,126700,126800,-253,-1266747,1253,OK
1.514206,Eternite_1023,Tick,0,0,0,0,126700,126800,0,0,0,OK
1.514206,IdentityExchangers_4761,Tick,0,0,0,0,126700,126800,0,0,0,OK
1.753974,ReadyFlamingo_938703,Tick,0,10,-10,10,126900,126800,-127,-2873,-3873,OK
1.753974,HappyLife_99999,Tick,7,15,-8,8,126900,126800,555,-11155,-11955,OK
1.753974,Algorizzms_1224,Tick,10,20,-10,7,126900,126800,0,389400,8000,OK
1.753974,Emineminem_522023,Tick,18,0,18,-5,126900,126800,266,-1641366,8834,OK
1.753974,potatochick_701801,Tick,10,20,-10,20,126900,126800,-380,-1271620,-4620,OK
1.753974,Eternite_1023,Tick,0,0,0,0,126900,126800,0,0,0,OK
1.753974,IdentityExchangers_4761,Tick,0,0,0,0,126900,126800,0,0,0,OK
1.982508,ReadyFlamingo_938703,Tick,0,10,-10,10,126900,126800,-127,-2873,-3873,OK
1.982508,HappyLife_99999,Tick,7,15,-8,8,126900,126800,555,-11155,-11955,OK
1.982508,Algorizzms_1224,Tick,10,20,-10,7,126900,126800,0,389400,8000,OK
1.982508,Emineminem_522023,Tick,18,0,18,-5,126900,126800,266,-1641366,8834,OK
1.982508,potatochick_701801,Tick,10,20,-10,20,126900,126800,-380,-1271620,-4620,OK
1.982508,Eternite_1023,Tick,0,0,0,0,126900,126800,0,0,0,OK
1.982508,IdentityExchangers_4761,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.260693,ReadyFlamingo_938703,Tick,0,10,-10,10,126900,126800,-127,-2873,-3873,OK
2.260693,HappyLife_99999,Tick,7,15,-8,8,126900,126800,555,-11155,-11955,OK
2.260693,Algorizzms_1224,Tick,10,20,-10,7,126900,126800,0,389400,8000,OK
2.260693,Emineminem_522023,Tick,18,0,18,-5,126900,126800,266,-1641366,8834,OK
2.260693,potatochick_701801,Tick,10,20,-10,20,126900,126800,-380,-1271620,-4620,OK
2.260693,Eternite_1023,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.260693,IdentityExchangers_4761,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.465568,ReadyFlamingo_938703,Tick,0,10,-10,10,126900,126800,-127,-2873,-3873,OK
2.465568,HappyLife_99999,Tick,7,15,-8,8,126900,126800,555,-11155,-11955,OK
2.465568,Algorizzms_1224,Tick,10,20,-10,7,126900,126800,0,389400,8000,OK
2.465568,Emineminem_522023,Tick,18,0,18,-5,126900,126800,266,-1641366,8834,OK
2.465568,potatochick_701801,Tick,10,20,-10,20,126900,126800,-380,-1271620,-4620,OK
2.465568,Eternite_1023,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.465568,IdentityExchangers_4761,Tick,0,0,0,0,126900,126800,0,0,0,OK
2.7149,ReadyFlamingo_938703,Tick,0,20,-20,20,127400,126800,-254,-2746,-7826,OK
2.7149,HappyLife_99999,Tick,7,15,-8,8,127400,126800,555,-11155,-13187,OK
2.7149,Algorizzms_1224,Tick,10,20,-10,7,127400,126800,0,389400,6460,OK
2.7149,Emineminem_522023,Tick,18,0,18,-5,127400,126800,266,-1641366,11606,OK
2.7149,potatochick_701801,Tick,10,30,-20,30,127400,126800,-507,-1271493,-8573,OK
2.7149,Eternite_1023,Tick,0,0,0,0,127400,126800,0,0,0,OK
2.7149,IdentityExchangers_4761,Tick,0,0,0,0,127400,126800,0,0,0,OK
3.044897,ReadyFlamingo_938703,Tick,0,20,-20,20,127600,127200,-254,-2746,-7826,OK
3.044897,HappyLife_99999,Tick,7,15,-8,8,127600,127200,555,-11155,-13187,OK
3.044897,Algorizzms_1224,Tick,10,20,-10,7,127600,127200,0,389400,5260,OK
3.044897,Emineminem_522023,Tick,18,0,18,-5,127600,127200,266,-1641366,16806,OK
3.044897,potatochick_701801,Tick,20,30,-10,30,127600,127200,-635,-2547365,-5905,OK
3.044897,Eternite_1023,Tick,0,10,-10,10,127600,127200,255,2745,205,OK
3.044897,IdentityExchangers_4761,Tick,0,0,0,0,127600,127200,0,0,0,OK
3.217916,ReadyFlamingo_938703,Tick,0,20,-20,20,127600,127200,-254,-2746,-7826,OK
3.217916,HappyLife_99999,Tick,7,15,-8,8,127600,127200,555,-11155,-13187,OK
3.217916,Algorizzms_1224,Tick,10,20,-10,7,127600,127200,0,389400,5260,OK
3.217916,Emineminem_522023,Tick,18,0,18,-5,127600,127200,266,-1641366,16806,OK
3.217916,potatochick_701801,Tick,20,30,-10,30,127600,127200,-635,-2547365,-5905,OK
